N,MAE,RMSE,SRCC,PLCC,Bias,pred_mean,pred_std,target_mean,target_std,std_ratio,dataset,model
3981,4.29853502267082,5.596629078149307,0.5572841722344393,0.677229131887719,-2.3830901033080876,69.79904250159571,6.510928735759208,72.1821326049038,6.050631364396424,1.0760742712027211,flive,B3:koniq_flive_flive60_koniq40
3981,5.6449906477476155,8.084681384729274,0.5247419048605855,0.5990100405532894,-3.9271464189948553,68.25498618590895,8.768866499354607,72.1821326049038,6.050631364396424,1.4492481810994178,flive,B4:koniq_flive_koniq_guard_cap_8
3981,6.3258540723570675,9.183086985006772,0.507851171084154,0.5773618031931924,-4.647002325460525,67.53513027944328,9.684379417292138,72.1821326049038,6.050631364396424,1.6005568401138575,flive,B5:koniq_flive_disagreement_guard
1008,5.592353035807044,7.194326172336225,0.8660939072646421,0.8912551918087899,1.1759967907250568,59.756286943242664,14.371355728635963,58.580290152517605,15.618942277557046,0.9201234932077477,koniq,koniq_score
1008,14.261503988767119,18.270219420588404,0.6881232752819454,0.7353786504630245,13.711686390182297,72.2919765426999,5.675186067585947,58.580290152517605,15.618942277557046,0.36335277810333266,koniq,flive_score
1008,5.797631609029601,7.729205398356052,0.86252261742985,0.8836945150500845,2.4571650450834848,61.03745519760109,13.295307796740268,58.580290152517605,15.618942277557046,0.8512297158460197,koniq,topiq_score
1008,7.014197996605832,9.069664165115125,0.8448480678667429,0.8716362350385143,3.8743720142252083,62.454662166742814,16.55319732537324,58.580290152517605,15.618942277557046,1.0598155131899445,koniq,topiq_ranking_score
1008,9.096524755758939,11.97488003841196,0.8556813115537385,0.8750182561815034,8.084425717632891,66.6647158701505,9.098325169164902,58.580290152517605,15.618942277557046,0.582518649949705,koniq,A1:flive_topiq_mean_50_50
1008,8.173438884017388,10.868608115746213,0.8620998956224458,0.880262702509153,6.958973583123011,65.53926373564063,9.904723430039574,58.580290152517605,15.618942277557046,0.6341481551072592,koniq,A2:flive_topiq_topiq60_flive40
1008,10.07338583666233,13.150616057468877,0.8444630733860341,0.8660122899432062,9.209877852142771,67.79016800466037,8.318175985389267,58.580290152517605,15.618942277557046,0.5325697372825114,koniq,A3:flive_topiq_flive60_topiq40
1008,8.093355260228284,10.686342047681558,0.8577285521304907,0.871791724126457,7.020897471046606,65.60118762356421,11.09423229988201,58.580290152517605,15.618942277557046,0.7103062488311632,koniq,A4:flive_topiq_min_cap_8
1008,7.338310632962865,9.776840795282256,0.8595057435490635,0.8756116984756597,6.02674861439681,64.60703876691441,12.143140632838179,58.580290152517605,15.618942277557046,0.7774624182001576,koniq,A5:flive_topiq_disagreement_guard
1008,8.516189925377995,11.22277812763933,0.8639486986623733,0.8860704451172267,7.443841590453677,66.02413174297128,9.582734742799714,58.580290152517605,15.618942277557046,0.6135328867031671,koniq,B1:koniq_flive_mean_50_50
1008,7.562605792062334,10.020960284368497,0.8678195106647552,0.8904463782663208,6.190272630507954,64.77056278302555,10.505395654146886,58.580290152517605,15.618942277557046,0.6726060873688069,koniq,B2:koniq_flive_koniq60_flive40
1008,9.578756714464442,12.523105155726654,0.8545650454877189,0.8778358300946736,8.6974105503994,67.27770070291702,8.688941945640623,58.580290152517605,15.618942277557046,0.556307961911468,koniq,B3:koniq_flive_flive60_koniq40
